Challenge Date,IP Address,User Agent,Country,Challenge Type
Fri Sep 27 08:54:39 UTC 2024,82.66.106.247,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",France,EMAIL_PIN_CHALLENGE
Fri Sep 27 08:54:39 UTC 2024,82.66.106.247,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",France,EMAIL_PIN_CHALLENGE
Fri Sep 27 08:55:01 UTC 2024,82.66.106.247,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",France,EMAIL_PIN_CHALLENGE
Mon Oct 07 08:26:52 UTC 2024,46.193.96.2,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",France,EMAIL_PIN_CHALLENGE
Mon Oct 07 08:27:13 UTC 2024,46.193.96.2,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",France,EMAIL_PIN_CHALLENGE
Mon Oct 07 08:27:24 UTC 2024,46.193.96.2,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",France,TWO_STEP_VERIFICATION_AUTHENTICATOR_APP
Mon Oct 07 08:29:21 UTC 2024,46.193.96.2,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",France,TWO_STEP_VERIFICATION_AUTHENTICATOR_APP
Wed Oct 16 16:56:08 UTC 2024,82.66.106.247,LIAuthLibrary:0.0.3 com.linkedin.android:4.1.993 Google_Pixel 8:android_14,France,TWO_STEP_VERIFICATION_AUTHENTICATOR_APP
Wed Oct 16 16:56:08 UTC 2024,82.66.106.247,LIAuthLibrary:0.0.3 com.linkedin.android:4.1.993 Google_Pixel 8:android_14,France,TWO_STEP_VERIFICATION_AUTHENTICATOR_APP
Wed Oct 16 16:56:36 UTC 2024,82.66.106.247,LIAuthLibrary:0.0.3 com.linkedin.android:4.1.993 Google_Pixel 8:android_14,France,TWO_STEP_VERIFICATION_AUTHENTICATOR_APP
Tue Oct 29 08:53:59 UTC 2024,37.170.57.235,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36 Edg/130.0.0.0",France,LINKEDIN_APP_CHALLENGE
Tue Oct 29 08:55:12 UTC 2024,37.170.57.235,"Mozilla/5.0 (Linux; Android 14; Pixel 8 Build/AP2A.240905.003; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/130.0.6723.58 Mobile Safari/537.36 com.linkedin.android/190500 [LinkedInApp]/1.75.155",France,LINKEDIN_APP_CHALLENGE
Tue Oct 29 08:55:16 UTC 2024,37.170.57.235,"Mozilla/5.0 (Linux; Android 14; Pixel 8 Build/AP2A.240905.003; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/130.0.6723.58 Mobile Safari/537.36 com.linkedin.android/190500 [LinkedInApp]/1.75.155",France,LINKEDIN_APP_CHALLENGE
Tue Oct 29 08:55:18 UTC 2024,37.170.57.235,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36 Edg/130.0.0.0",France,LINKEDIN_APP_CHALLENGE
Wed Dec 04 16:11:42 UTC 2024,141.255.129.81,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Edg/131.0.0.0",France,EMAIL_PIN_CHALLENGE
Sun Jan 05 11:31:00 UTC 2025,82.66.106.247,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Edg/131.0.0.0",France,LINKEDIN_APP_CHALLENGE
Sun Jan 05 11:31:12 UTC 2025,82.66.106.247,"Mozilla/5.0 (Linux; Android 15; Pixel 8 Build/AP4A.241205.013; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/131.0.6778.135 Mobile Safari/537.36 com.linkedin.android/192900 [LinkedInApp]/1.99.62",France,LINKEDIN_APP_CHALLENGE
Sun Jan 05 11:31:14 UTC 2025,82.66.106.247,"Mozilla/5.0 (Linux; Android 15; Pixel 8 Build/AP4A.241205.013; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/131.0.6778.135 Mobile Safari/537.36 com.linkedin.android/192900 [LinkedInApp]/1.99.62",France,LINKEDIN_APP_CHALLENGE
Sun Jan 05 11:31:15 UTC 2025,82.66.106.247,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Edg/131.0.0.0",France,LINKEDIN_APP_CHALLENGE
Sun Jun 22 10:19:02 UTC 2025,45.202.78.30,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",South Africa,CAPTCHA_CHALLENGE
Sun Jun 22 10:19:02 UTC 2025,45.202.78.30,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",South Africa,CAPTCHA_CHALLENGE
Sat Jun 28 12:38:38 UTC 2025,82.66.106.247,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36",France,LINKEDIN_APP_CHALLENGE
Sat Jun 28 12:38:56 UTC 2025,82.66.106.247,"Mozilla/5.0 (Linux; Android 15; Pixel 8 Build/BP1A.250505.005.B1; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/137.0.7151.115 Mobile Safari/537.36 com.linkedin.android/199502 [LinkedInApp]/2.165.98",France,LINKEDIN_APP_CHALLENGE
Sat Jun 28 12:38:59 UTC 2025,82.66.106.247,"Mozilla/5.0 (Linux; Android 15; Pixel 8 Build/BP1A.250505.005.B1; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/137.0.7151.115 Mobile Safari/537.36 com.linkedin.android/199502 [LinkedInApp]/2.165.98",France,LINKEDIN_APP_CHALLENGE
Sat Jun 28 12:39:00 UTC 2025,82.66.106.247,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36",France,LINKEDIN_APP_CHALLENGE
Tue Sep 09 08:34:16 UTC 2025,82.66.106.247,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:142.0) Gecko/20100101 Firefox/142.0,France,LINKEDIN_APP_CHALLENGE
Tue Sep 09 08:34:48 UTC 2025,82.66.106.247,"Mozilla/5.0 (Linux; Android 16; Pixel 8 Build/BP2A.250805.005; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/139.0.7258.158 Mobile Safari/537.36 com.linkedin.android/202001 [LinkedInApp]/2.189.128",France,LINKEDIN_APP_CHALLENGE
Tue Sep 09 08:34:50 UTC 2025,82.66.106.247,"Mozilla/5.0 (Linux; Android 16; Pixel 8 Build/BP2A.250805.005; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/139.0.7258.158 Mobile Safari/537.36 com.linkedin.android/202001 [LinkedInApp]/2.189.128",France,LINKEDIN_APP_CHALLENGE
Tue Sep 09 08:34:53 UTC 2025,82.66.106.247,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:142.0) Gecko/20100101 Firefox/142.0,France,LINKEDIN_APP_CHALLENGE
