Organization,Followed On
CraftsRecords,Mon Apr 14 07:29:35 UTC 2025
Mistral AI,Mon Feb 10 11:18:43 UTC 2025
GitHub,Thu Jan 09 11:10:57 UTC 2025
Les Joies du Code,Thu Jan 09 11:10:48 UTC 2025
Team for the Planet,Thu Jan 09 11:10:37 UTC 2025
Generative AI,Thu Jan 09 11:10:33 UTC 2025
OpenAI,Thu Jan 09 11:10:30 UTC 2025
ANSSI - Agence nationale de la sécurité des systèmes d'information,Thu Jan 09 11:10:21 UTC 2025
Agile Games France,Wed Dec 18 09:35:47 UTC 2024
Conseil de l'intelligence artificielle et du numérique,Thu Dec 05 10:07:11 UTC 2024
Agile Pays Basque,Tue Apr 02 07:49:00 UTC 2024
NéoBusiness en Nouvelle-Aquitaine,Tue Oct 31 08:40:46 UTC 2023
Open Startup,Mon Oct 23 07:53:07 UTC 2023
DEKRA France,Fri Jun 30 13:57:59 UTC 2023
AGENCE DANDELION,Wed Apr 26 17:40:44 UTC 2023
Agile Tour Bordeaux,Wed Mar 29 08:01:40 UTC 2023
Agilitest,Wed Mar 29 08:01:32 UTC 2023
Turboperformance,Thu Dec 16 07:45:45 UTC 2021
3W CONSULTING,Thu Dec 16 07:45:06 UTC 2021
Stratosfair by Grolleau,Wed Apr 28 14:10:13 UTC 2021
PALO IT NANTES,Thu Apr 01 13:57:26 UTC 2021
PALO IT,Thu Dec 17 18:13:29 UTC 2020
LOOM CONSULTING,Wed Dec 09 09:50:53 UTC 2020
Widoowin CF - France,Wed Dec 02 20:28:48 UTC 2020
ThinkDeep AI,Sat Nov 21 12:57:37 UTC 2020
Moonflake,Thu Oct 29 09:36:38 UTC 2020
Cabinet Caroline Bedaux,Thu Oct 29 09:03:22 UTC 2020
Histoire de Réussir,Thu Oct 29 08:59:10 UTC 2020
COSY WORKPLACE - Vos réunions comme à la maison,Thu Oct 29 08:58:40 UTC 2020
Wanteeed,Mon Aug 17 08:29:17 UTC 2020
Dronisos - Drone Light Shows,Tue Jun 30 09:41:15 UTC 2020
CAP'KIS,Mon May 11 11:25:24 UTC 2020
SamBoat,Tue Jan 21 12:19:39 UTC 2020
La French Tech Bordeaux,Tue Jan 21 12:19:36 UTC 2020
Loisirs Enchères,Tue Jan 21 12:19:33 UTC 2020
Modula Formation,Fri Oct 25 15:13:17 UTC 2019
Fenikso,Tue Apr 04 11:13:48 UTC 2017
ECV Paris,Thu Mar 09 09:37:45 UTC 2017
Actinuum,Thu Jan 26 09:38:46 UTC 2017
UVSQ Université de Versailles Saint-Quentin-en-Yvelines,Sat Sep 10 03:02:23 UTC 2016
Université de Picardie Jules Verne (UPJV),Tue Sep 06 13:33:10 UTC 2016
Immersion,Tue Jan 12 13:52:32 UTC 2016
Informatique Banque Populaire,Sun Aug 23 15:28:45 UTC 2015
Upwiser,Wed Feb 25 17:06:02 UTC 2015
DEKRA Automotive SAS,Sat Oct 04 10:00:59 UTC 2014
Alexandre Xiradakis,Fri Nov 02 08:50:18 UTC 2012
Ezakus,Fri Nov 02 08:50:29 UTC 2012
Fornost,Fri Nov 02 08:50:11 UTC 2012
Keyrus,Thu Sep 20 05:30:34 UTC 2012
Wipro,Tue Sep 06 06:55:26 UTC 2011
Cdiscount,Mon May 16 07:32:50 UTC 2011